ITAPEBI GERACAO DE ENERGIA S.A.;ITAPEBI;
INDUSTRIAS J B DUARTE S.A.;J B DUARTE;
J. MACEDO S.A.;J.MACEDO;
JEREISSATI PARTICIPACOES S.A.;JEREISSATI;
JOAO FORTES ENGENHARIA S.A.;JOAO FORTES;
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;JOSAPAR;
KARSTEN S.A.;KARSTEN;
KEPLER WEBER S.A.;KEPLER WEBER;
LIBRA TERMINAL RIO S.A.;LIBRA T RIO;
LIGHT SERVICOS DE ELETRICIDADE S.A.;LIGHT;
LITELA PARTICIPAÄÂES S.A.;LITELA;
MANGELS INDUSTRIAL S.A.;MANGELS INDL;
CIA MELHORAMENTOS DE SAO PAULO;MELHOR SP;
MENDES JUNIOR ENGENHARIA S.A.;MENDES JR;
BCO MERCANTIL DO BRASIL S.A.;MERC BRASIL;
MERCANTIL BRASIL FINANC S.A. C.F.I.;MERC FINANC;
BCO MERCANTIL DE INVESTIMENTOS S.A.;MERC INVEST;
METALGRAFICA IGUACU S.A.;METAL IGUACU;
METISA METALURGICA TIMBOENSE S.A.;METISA;
MGI - MINAS GERAIS PARTICIPAÄÂES S.A.;MGI PARTICIP;
MINASMAQUINAS S.A.;MINASMAQUINA;
MINUPAR PARTICIPACOES S.A.;MINUPAR;
MONTEIRO ARANHA S.A.;MONT ARANHA;
MUNDIAL S.A. - PRODUTOS DE CONSUMO;MUNDIAL;
NADIR FIGUEIREDO IND E COM S.A.;NADIR FIGUEI;
BCO NORDESTE DO BRASIL S.A.;NORD BRASIL;
NORDON INDUSTRIAS METALURGICAS S.A.;NORDON MET;
OCTANTE SECURITIZADORA S.A.;OCTANTE SEC;
CONSERVAS ODERICH S.A.;ODERICH;
OURINVEST SECURITIZADORA SA;OURINVESTSEC;
OURO VERDE LOCACAO E SERVICO S.A.;OURO VERDE;
PANATLANTICA S.A.;PANATLANTICA;
CIA PARTICIPACOES ALIANCA DA BAHIA;PAR AL BAHIA;
PARANA BCO S.A.;PARANA;
PATRIA CIA SECURITIZADORA DE CRED IMOB;PATRIA SEC;
CIA PAULISTA DE FORCA E LUZ;PAUL F LUZ;
PDG COMPANHIA SECURITIZADORA;PDG SECURIT;
REFINARIA DE PETROLEOS MANGUINHOS S.A.;PET MANGUINH;
PETTENATI S.A. INDUSTRIA TEXTIL;PETTENATI;
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;PLASCAR PART;
POLO CAPITAL SECURITIZADORA S.A;POLO CAP SEC;
POLPAR S.A.;POLPAR;
PORTO SUDESTE V.M. S.A.;PORTO VM;
RAIZEN ENERGIA S.A.;RAIZEN ENERG;
RECRUSUL S.A.;RECRUSUL;
REDE ENERGIA PARTICIPAÄÂES S.A.;REDE ENERGIA;
METALURGICA RIOSULENSE S.A.;RIOSULENSE;
RODOVIAS DAS COLINAS S.A.;ROD COLINAS;
CONC RODOVIAS DO TIET“ S.A.;ROD TIETE;
CONC ROTA DAS BANDEIRAS S.A.;RT BANDEIRAS;
SALUS INFRAESTRUTURA PORTUARIA SA;SALUS INFRA;
SANESALTO SANEAMENTO S.A.;SANESALTO;
SANSUY S.A. INDUSTRIA DE PLASTICOS;SANSUY;
BCO SANTANDER (BRASIL) S.A.;SANTANDER BR;
CIA TECIDOS SANTANENSE;SANTANENSE;
SANTHER FAB DE PAPEL STA THEREZINHA S.A.;SANTHER;
SCHULZ S.A.;SCHULZ;
CIA SEGUROS ALIANCA DA BAHIA;SEG AL BAHIA;
CIA SIDERURGICA NACIONAL;SID NACIONAL;
SONDOTECNICA ENGENHARIA SOLOS S.A.;SONDOTECNICA;
SPRINGER S.A.;SPRINGER;
SAO PAULO TURISMO S.A.;SPTURIS;
STATKRAFT ENERGIAS RENOVAVEIS S.A.;STATKRAFT;
SANTO ANTONIO ENERGIA S.A.;STO ANTONIO;
SUZANO HOLDING S.A.;SUZANO HOLD;
TCP TERMINAL DE CONTEINERES DE PARANAGUA SA;TCP TERMINAL;
TECNOSOLO ENGENHARIA S.A.;TECNOSOLO;
TEKA-TECELAGEM KUEHNRICH S.A.;TEKA;
TEKNO S.A. - INDUSTRIA E COMERCIO;TEKNO;
TELEC BRASILEIRAS S.A. TELEBRAS;TELEBRAS;
TELEF‚NICA BRASIL S.A;TELEF BRASIL;
TERMELêTRICA PERNAMBUCO III S.A.;TERM. PE III;
TERMOPERNAMBUCO S.A.;TERMOPE;
TEXTIL RENAUXVIEW S.A.;TEX RENAUX;
TREVISA INVESTIMENTOS S.A.;TREVISA;
TRI∂NGULO DO SOL AUTO-ESTRADAS S.A.;TRIANGULOSOL;
TRUE SECURITIZADORA S.A.;TRUESEC;
UNIDAS S.A.;UNIDAS;
UNIPAR CARBOCLORO S.A.;UNIPAR;
VERT COMPANHIA SECURITIZADORA;VERTCIASEC;
CONC ROD.OESTE SP VIAOESTE S.A;VIAOESTE;
WETZEL S.A.;WETZEL S/A;
WHIRLPOOL S.A.;WHIRLPOOL;
WLM PART. E COMêRCIO DE MµQUINAS E VE÷CULOS S.A.;WLM IND COM;
REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;WTORRE PIC;
