SETORECONOMICO;SUBSETOR;SUBDIVISAO;DESCRICAO;CODIGO;SEGMENTO
Tecnologia da Informacao;Programas e Servicos;Programas e Servicos;FACEBOOK;FBOK;DRN
Tecnologia da Informacao;Programas e Servicos;Programas e Servicos;IBM;IBMB;DRN
Tecnologia da Informacao;Programas e Servicos;Programas e Servicos;LINX;LINX;NM
Tecnologia da Informacao;Programas e Servicos;Programas e Servicos;MICROSOFT ;MSFT;DRN
Tecnologia da Informacao;Programas e Servicos;Programas e Servicos;ORACLE ;ORCL;DRN
Tecnologia da Informacao;Programas e Servicos;Programas e Servicos;QUALITY SOFT;QUSW;MA
Tecnologia da Informacao;Programas e Servicos;Programas e Servicos;SALESFORCE;SSFO;DRN
Tecnologia da Informacao;Programas e Servicos;Programas e Servicos;SINQIA;SQIA;NM
Tecnologia da Informacao;Programas e Servicos;Programas e Servicos;TOTVS ;TOTS;NM
Tecnologia da Informacao;Programas e Servicos;Programas e Servicos;TWITTER;TWTR;DRN
Telecomunicacoes;Telecomunicacoes;Telecomunicacoes;ALGAR TELEC;ALGT;
Telecomunicacoes;Telecomunicacoes;Telecomunicacoes;ATT INC;ATTB;DRN
Telecomunicacoes;Telecomunicacoes;Telecomunicacoes;OI;OIBR;N1
Telecomunicacoes;Telecomunicacoes;Telecomunicacoes;SPRINT;SPRN;DRN
Telecomunicacoes;Telecomunicacoes;Telecomunicacoes;TELEBRAS ;TELB;
Telecomunicacoes;Telecomunicacoes;Telecomunicacoes;TELEF BRASIL;VIVT;
Telecomunicacoes;Telecomunicacoes;Telecomunicacoes;TIM PART S/A;TIMP;NM
Telecomunicacoes;Telecomunicacoes;Telecomunicacoes;VERIZON;VERZ;DRN
Utilidade Publica;Energia Eletrica;Energia Eletrica;AES SUL ;AESL;
Utilidade Publica;Energia Eletrica;Energia Eletrica;AES TIETE E;TIET;N2
Utilidade Publica;Energia Eletrica;Energia Eletrica;AFLUENTE T ;AFLT;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ALUPAR;ALUP;N2
Utilidade Publica;Energia Eletrica;Energia Eletrica;AMPLA ENERG ;CBEE;
Utilidade Publica;Energia Eletrica;Energia Eletrica;CACHOEIRA;CPTE;MB
Utilidade Publica;Energia Eletrica;Energia Eletrica;CEB ;CEBR;
Utilidade Publica;Energia Eletrica;Energia Eletrica;CEEE-D ;CEED;N1
Utilidade Publica;Energia Eletrica;Energia Eletrica;CEEE-GT ;EEEL;N1
Utilidade Publica;Energia Eletrica;Energia Eletrica;CELESC ;CLSC;N2
Utilidade Publica;Energia Eletrica;Energia Eletrica;CELGPAR ;GPAR;
Utilidade Publica;Energia Eletrica;Energia Eletrica;CELPA ;CELP;
Utilidade Publica;Energia Eletrica;Energia Eletrica;CELPE ;CEPE;
Utilidade Publica;Energia Eletrica;Energia Eletrica;CEMAR ;ENMA;MB
Utilidade Publica;Energia Eletrica;Energia Eletrica;CEMIG ;CMIG;N1
Utilidade Publica;Energia Eletrica;Energia Eletrica;CEMIG DIST ;CMGD;
Utilidade Publica;Energia Eletrica;Energia Eletrica;CEMIG GT ;CMGT;
Utilidade Publica;Energia Eletrica;Energia Eletrica;CESP ;CESP;N1
Utilidade Publica;Energia Eletrica;Energia Eletrica;COELBA ;CEEB;
Utilidade Publica;Energia Eletrica;Energia Eletrica;COELCE ;COCE;
Utilidade Publica;Energia Eletrica;Energia Eletrica;COPEL ;CPLE;N1
Utilidade Publica;Energia Eletrica;Energia Eletrica;COSERN ;CSRN;
Utilidade Publica;Energia Eletrica;Energia Eletrica;CPFL ENERGIA;CPFE;NM
Utilidade Publica;Energia Eletrica;Energia Eletrica;CPFL GERACAO;CPFG;
Utilidade Publica;Energia Eletrica;Energia Eletrica;CPFL PIRATIN;CPFP;
Utilidade Publica;Energia Eletrica;Energia Eletrica;CPFL RENOVAV;CPRE;NM
Utilidade Publica;Energia Eletrica;Energia Eletrica;DUKE ENERGY;DUKB;DRN
Utilidade Publica;Energia Eletrica;Energia Eletrica;EBE ;EBEN;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ELEKTRO ;EKTR;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ELETROBRAS ;ELET;N1
Utilidade Publica;Energia Eletrica;Energia Eletrica;ELETROPAR ;LIPR;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ELETROPAULO ;ELPL;NM
Utilidade Publica;Energia Eletrica;Energia Eletrica;EMAE ;EMAE;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENERGIAS BR ;ENBR;NM
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENERGISA ;ENGI;N2
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENERGISA MT;ENMT;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENERSUL ;ENER;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENEVA;ENEV;NM
Utilidade Publica;Energia Eletrica;Energia Eletrica;ENGIE BRASIL;EGIE;NM
Utilidade Publica;Energia Eletrica;Energia Eletrica;EQUATORIAL ;EQTL;NM
Utilidade Publica;Energia Eletrica;Energia Eletrica;ESCELSA ;ESCE;
Utilidade Publica;Energia Eletrica;Energia Eletrica;FGENERGIA;FGEN;
Utilidade Publica;Energia Eletrica;Energia Eletrica;GER PARANAP ;GEPA;
Utilidade Publica;Energia Eletrica;Energia Eletrica;ITAPEBI ;ITPB;
Utilidade Publica;Energia Eletrica;Energia Eletrica;LIGHT ;LIGH;
Utilidade Publica;Energia Eletrica;Energia Eletrica;LIGHT S/A ;LIGT;NM
Utilidade Publica;Energia Eletrica;Energia Eletrica;NEOENERGIA ;NEOE;MB
Utilidade Publica;Energia Eletrica;Energia Eletrica;OMEGA GER;OMGE;NM
Utilidade Publica;Energia Eletrica;Energia Eletrica;PAUL F LUZ ;PALF;
Utilidade Publica;Energia Eletrica;Energia Eletrica;PROMAN ;PRMN;MB
Utilidade Publica;Energia Eletrica;Energia Eletrica;REDE ENERGIA;REDE;
Utilidade Publica;Energia Eletrica;Energia Eletrica;RENOVA ;RNEW;N2
Utilidade Publica;Energia Eletrica;Energia Eletrica;STATKRAFT;STKF;
Utilidade Publica;Energia Eletrica;Energia Eletrica;STO ANTONIO;STEN;
Utilidade Publica;Energia Eletrica;Energia Eletrica;TAESA ;TAEE;N2
Utilidade Publica;Energia Eletrica;Energia Eletrica;TERMOPE ;TMPE;
Utilidade Publica;Energia Eletrica;Energia Eletrica;TERM. PE III;TEPE;
Utilidade Publica;Energia Eletrica;Energia Eletrica;TRAN PAULIST;TRPL;N1
Utilidade Publica;Energia Eletrica;Energia Eletrica;UPTICK ;UPKP;MB
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;CASAN ;CASN;
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;COPASA ;CSMG;NM
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;IGUA SA ;IGSN;MA
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;SABESP ;SBSP;NM
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;SANEPAR ;SAPR;N2
Utilidade Publica;Agua e Saneamento;Agua e Saneamento;SANESALTO ;SNST;
Utilidade Publica;Gas;Gas;CEG ;CEGR;
Utilidade Publica;Gas;Gas;COMGAS ;CGAS;
Financeiro;Intermediarios Financeiros;Bancos;ABC BRASIL ;ABCB;N2
Financeiro;Intermediarios Financeiros;Bancos;ALFA HOLDING;RPAD;
Financeiro;Intermediarios Financeiros;Bancos;ALFA INVEST ;BRIV;
Financeiro;Intermediarios Financeiros;Bancos;AMAZONIA ;BAZA;
Financeiro;Intermediarios Financeiros;Bancos;BANCO PAN;BPAN;N1
Financeiro;Intermediarios Financeiros;Bancos;BANESE ;BGIP;
Financeiro;Intermediarios Financeiros;Bancos;BANESTES ;BEES;
Financeiro;Intermediarios Financeiros;Bancos;BANK AMERICA;BOAC;DRN
Financeiro;Intermediarios Financeiros;Bancos;BANPARA ;BPAR;
Financeiro;Intermediarios Financeiros;Bancos;BANRISUL ;BRSR;N1
Financeiro;Intermediarios Financeiros;Bancos;BRADESCO ;BBDC;N1
Financeiro;Intermediarios Financeiros;Bancos;BRASIL ;BBAS;NM
Financeiro;Intermediarios Financeiros;Bancos;BRB BANCO ;BSLI;
Financeiro;Intermediarios Financeiros;Bancos;BTGP BANCO;BPAC;
Financeiro;Intermediarios Financeiros;Bancos;CITIGROUP ;CTGP;DRN
Financeiro;Intermediarios Financeiros;Bancos;GOLDMANSACHS;GSGI;DRN
Financeiro;Intermediarios Financeiros;Bancos;INDUSVAL ;IDVL;N2
Financeiro;Intermediarios Financeiros;Bancos;INTER BANCO;BIDI;N1
Financeiro;Intermediarios Financeiros;Bancos;ITAUSA ;ITSA;N1
Financeiro;Intermediarios Financeiros;Bancos;ITAUUNIBANCO;ITUB;N1
Financeiro;Intermediarios Financeiros;Bancos;JPMORGAN;JPMC;DRN
Financeiro;Intermediarios Financeiros;Bancos;MERC BRASIL ;BMEB;
Financeiro;Intermediarios Financeiros;Bancos;MERC INVEST ;BMIN;
Financeiro;Intermediarios Financeiros;Bancos;NORD BRASIL ;BNBR;
Financeiro;Intermediarios Financeiros;Bancos;PARANA ;PRBC;
Financeiro;Intermediarios Financeiros;Bancos;PATAGONIA ;BPAT;DR3
Financeiro;Intermediarios Financeiros;Bancos;PINE ;PINE;N2
Financeiro;Intermediarios Financeiros;Bancos;SANTANDER BR;SANB;
Financeiro;Intermediarios Financeiros;Bancos;UBS GROUP;UBSG;DRN
Financeiro;Intermediarios Financeiros;Bancos;US BANCORP;USBC;DRN
Financeiro;Intermediarios Financeiros;Bancos;WELLS FARGO ;WFCO;DRN
Financeiro;Intermediarios Financeiros;Soc. Credito e Financiamento;ALFA FINANC ;CRIV;
Financeiro;Intermediarios Financeiros;Soc. Credito e Financiamento;FINANSINOS ;FNCN;
Financeiro;Intermediarios Financeiros;Soc. Credito e Financiamento;MERC FINANC ;MERC;
Financeiro;Intermediarios Financeiros;Soc. Arrendamento Mercantil;BRADESCO LSG;BDLS;
Financeiro;Intermediarios Financeiros;Soc. Arrendamento Mercantil;BV LEASING ;BVLS;
Financeiro;Intermediarios Financeiros;Soc. Arrendamento Mercantil;DIBENS LSG ;DBEN;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;APICESECURIT;APCS;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;BRAZIL REALT;BZRS;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;BRAZILIAN SC;BSCS;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;BRC SECURIT ;BRCS;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;BRPR 56 SEC;WTVR;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;CIBRASEC;CBSC;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;ECO SEC AGRO;ECOA;MB
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;GAIA AGRO ;GAFL;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;GAIA SECURIT;GAIA;MB
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;OCTANTE SEC;OCTS;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;PDG SECURIT ;PDGS;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;POLO CAP SEC;PLSC;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;RBCAPITALRES;RBRA;MB
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;RBCAPITALSEC;RBCS;MB
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;VERTCIASEC;VERT;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;WTORRE PIC ;WTPI;
Financeiro;Securitizadoras de Recebiveis;Securitizadoras de Recebiveis;BLACKROCK;BLAK;DRN
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;BNDESPAR ;BNDP;MB
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;BNY MELLON;BONY;DRN
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;BRAZILIAN FR;BFRE;
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;GP INVEST ;GPIV;DR3
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;IDEIASNET ;IDNT;
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;PPLA;PPLA;DR3
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;TARPON INV ;TRPN;NM
Financeiro;Servicos Financeiros Diversos;Gestao de Recursos e Investimentos;AMERICAN EXP;AXPB;DRN
Financeiro;Servicos Financeiros Diversos;Servicos Financeiros Diversos;B3 ;B3SA;NM
Financeiro;Servicos Financeiros Diversos;Servicos Financeiros Diversos;CIELO ;CIEL;NM
Financeiro;Servicos Financeiros Diversos;Servicos Financeiros Diversos;MASTERCARD ;MSCD;DRN
Financeiro;Servicos Financeiros Diversos;Servicos Financeiros Diversos;MORGAN STAN;MSBR;DRN
Financeiro;Servicos Financeiros Diversos;Servicos Financeiros Diversos;SCHWAB;SCHW;DRN
Financeiro;Servicos Financeiros Diversos;Servicos Financeiros Diversos;VISA INC;VISA;DRN
Financeiro;Servicos Financeiros Diversos;Servicos Financeiros Diversos;WESTERNUNION;WUNI;DRN
Financeiro;Servicos Financeiros Diversos;Servicos Financeiros Diversos;AIG GROUP;AIGB;DRN
Financeiro;Previdencia e Seguros;Seguradoras;ALFA CONSORC;BRGE;
Financeiro;Previdencia e Seguros;Seguradoras;BBSEGURIDADE;BBSE;NM
Financeiro;Previdencia e Seguros;Seguradoras;IRBBRASIL RE;IRBR;NM
Financeiro;Previdencia e Seguros;Seguradoras;METLIFE INC;METB;DRN
Financeiro;Previdencia e Seguros;Seguradoras;PORTO SEGURO;PSSA;NM
Financeiro;Previdencia e Seguros;Seguradoras;SEG AL BAHIA;CSAB;
Financeiro;Previdencia e Seguros;Seguradoras;SUL AMERICA ;SULA;N2
Financeiro;Previdencia e Seguros;Seguradoras;TRAVELERS;TRVC;DRN
Financeiro;Previdencia e Seguros;Corretoras de Seguros;ALPER S.A.;APER;NM
Financeiro;Previdencia e Seguros;Corretoras de Seguros;WIZ S.A.;WIZS;NM
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;ALIANSCE ;ALSC;NM
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;BOSTON PROP;BOXP;DRN
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;BR MALLS PAR;BRML;NM
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;BR PROPERT ;BRPR;NM
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;COR RIBEIRO ;CORR;
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;CYRE COM-CCP;CCPR;NM
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;GENERALSHOPP;GSHP;NM
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;HABITASUL ;HBTS;
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;IGB S/A ;IGBR;
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;IGUATEMI ;IGTA;NM
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;JEREISSATI ;JPSA;
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;LOG COM PROP;LOGG;NM
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;MENEZES CORT;MNZC;MB
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;MULTIPLAN ;MULT;N2
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;SAO CARLOS ;SCAR;NM
Financeiro;Exploracao de Imoveis;Exploracao de Imoveis;SIERRABRASIL;SSBR;NM
Financeiro;Exploracao de Imoveis;Intermediacao Imobiliaria;BR BROKERS ;BBRK;NM
Financeiro;Exploracao de Imoveis;Intermediacao Imobiliaria;LOPES BRASIL;LPSB;NM
Financeiro;Holdings Diversificadas;Holdings Diversificadas;3M;MMMC;DRN
Financeiro;Holdings Diversificadas;Holdings Diversificadas;AGPART ;CANT;MB
Financeiro;Holdings Diversificadas;Holdings Diversificadas;BATTISTELLA ;BTTL;
Financeiro;Holdings Diversificadas;Holdings Diversificadas;BERKSHIRE;BERK;DRN
Financeiro;Holdings Diversificadas;Holdings Diversificadas;DANAHER CORP;DHER;DRN
Financeiro;Holdings Diversificadas;Holdings Diversificadas;DOWDUPONT;DWDP;DRN
Financeiro;Holdings Diversificadas;Holdings Diversificadas;GE ;GEOO;DRN
Financeiro;Holdings Diversificadas;Holdings Diversificadas;HONEYWELL;HONB;DRN
Financeiro;Holdings Diversificadas;Holdings Diversificadas;MONT ARANHA ;MOAR;
Financeiro;Holdings Diversificadas;Holdings Diversificadas;PAR AL BAHIA;PEAB;
Financeiro;Holdings Diversificadas;Holdings Diversificadas;SPRINGER ;SPRI;
Financeiro;Outros Titulos;Outros Titulos;CEPAC - CTBA;CTBA;MB
Financeiro;Outros Titulos;Outros Titulos;CEPAC - MCRJ;MCRJ;MB
Financeiro;Outros Titulos;Outros Titulos;CEPAC - PMSP;PMSP;MB
Outros;Outros;Outros;524 PARTICIP;QVQP;MB
Outros;Outros;Outros;ALEF S/A ;ALEF;MB
Outros;Outros;Outros;ATOMPAR;ATOM;
Outros;Outros;Outros;BETAPART ;BETP;MB
Outros;Outros;Outros;CABINDA PART;CABI;MB
Outros;Outros;Outros;CACONDE PART;CACO;MB
Outros;Outros;Outros;CAPITALPART ;CPTP;MB
Outros;Outros;Outros;CCX CARVAO;CCXC;NM
Outros;Outros;Outros;CEMEPE ;MAPT;
Outros;Outros;Outros;CIMS ;CMSA;
Outros;Outros;Outros;ELETRON ;ETRO;MB
Outros;Outros;Outros;GAMA PART ;OPGM;MB
Outros;Outros;Outros;INVEST BEMGE;FIGE;
Outros;Outros;Outros;J B DUARTE ;JBDU;
Outros;Outros;Outros;LONGDIS ;SPRT;MB
Outros;Outros;Outros;MGI PARTICIP;MGIP;
Outros;Outros;Outros;OPPORT ENERG;OPHE;MB
Outros;Outros;Outros;POLPAR ;PPAR;
Outros;Outros;Outros;PROMPT PART ;PRPT;MB
Outros;Outros;Outros;SELECTPART ;SLCT;MB
Outros;Outros;Outros;SUDESTE S/A ;OPSE;MB
Outros;Outros;Outros;SUL 116 PART;OPTS;MB
